Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Retirement Month,Retirement Year,Nameplate Energy Capacity (MWh),DC Net Capacity (MW),Latitude,Longitude
54878,Oregon Environmental Industries LLC,56461,Dry Creek LFG to Energy Project,Map,Map,OR,Jackson,PACW,Commercial Non-CHP,DC1,,1.6,1.5,1.5,Landfill Gas,LFG,IC,7,2007,7,2026, , ,42.384400,-122.771800
54878,Oregon Environmental Industries LLC,56461,Dry Creek LFG to Energy Project,Map,Map,OR,Jackson,PACW,Commercial Non-CHP,DC2,,1.6,1.5,1.5,Landfill Gas,LFG,IC,7,2007,7,2026, , ,42.384400,-122.771800
56953,"Bos Dairy, LLC",57625,"Bos Dairy, LLC",Map,Map,IN,Jasper,MISO,Industrial Non-CHP,BOS4,,1.0,0.9,0.9,Natural Gas Internal Combustion Engine,NG,IC,3,2020,7,2026, , ,41.115300,-87.232800
14605,City of Peabody - (MA),1678,Waters River,Map,Map,MA,Essex,ISNE,Electric Utility,1,,21.3,16.0,22.0,Natural Gas Fired Combustion Turbine,NG,GT,12,1971,6,2026, , ,42.542949,-70.928310
21048,Wyandotte Municipal Serv Comm - (MI),1866,Wyandotte,Map,Map,MI,Wayne,MISO,Electric Utility,4,,11.5,10.5,11.5,Natural Gas Steam Turbine,NG,ST,1,1948,6,2026, , ,42.208100,-83.145300
21048,Wyandotte Municipal Serv Comm - (MI),1866,Wyandotte,Map,Map,MI,Wayne,MISO,Electric Utility,7,,32.0,32.0,32.0,Natural Gas Steam Turbine,NG,ST,7,1986,6,2026, , ,42.208100,-83.145300
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,Map,Map,AK,NORTHWEST ARCTIC,,Electric Utility,11wt,,0.1,0.1,0.1,Onshore Wind Turbine,WND,WT,5,2005,6,2026, , ,66.837778,-162.556900
12199,Montana-Dakota Utilities Co,57172,Glen Ullin Station 6,Map,Map,ND,Morton,MISO,Electric Utility,1,,5.3,5.3,5.3,All Other,WH,ST,7,2009,6,2026, , ,46.821400,-101.756400
5416,"Duke Energy Carolinas, LLC",57334,DE Solar 10240 Old Dowd Rd,Map,Map,NC,Mecklenburg,DUK,Electric Utility,PV01,,1.9,1.9,1.9,Solar Photovoltaic,SUN,PV,9,2010,6,2026, ,2.2,35.245800,-80.996700
5416,"Duke Energy Carolinas, LLC",57335,DE Solar 657 Brigham Rd,Map,Map,NC,Guilford,DUK,Electric Utility,PV01,,1.3,1.3,1.3,Solar Photovoltaic,SUN,PV,4,2010,6,2026, ,1.5,36.105300,-79.969200
