date,tech,mw
2017-01-01,solar,1690.3
2017-02-01,solar,1691.7
2017-03-01,solar,1767.4
2017-04-01,solar,1768.6
2017-05-01,solar,1772.3
2017-06-01,solar,1810.0
2017-07-01,solar,1813.1
2017-08-01,solar,1828.4
2017-09-01,solar,1832.6
2017-10-01,solar,1858.6
2017-11-01,solar,1930.6
2017-12-01,solar,2279.9
2018-01-01,solar,2293.7
2018-02-01,solar,2313.0
2018-03-01,solar,2401.9
2018-04-01,solar,2402.6
2018-05-01,solar,2418.4
2018-06-01,solar,2436.9
2018-07-01,solar,2441.5
2018-08-01,solar,2462.3
2018-09-01,solar,2490.3
2018-10-01,solar,2532.0
2018-11-01,solar,2543.9
2018-12-01,solar,2768.0
2019-01-01,solar,2776.9
2019-02-01,solar,2778.4
2019-03-01,solar,2794.3
2019-04-01,solar,2830.1
2019-05-01,solar,2833.7
2019-06-01,solar,2888.3
2019-07-01,solar,2920.3
2019-08-01,solar,2935.9
2019-09-01,solar,3034.8
2019-10-01,solar,3043.0
2019-11-01,solar,3055.2
2019-12-01,solar,3380.4
2020-01-01,solar,3445.1
2020-02-01,solar,3465.1
2020-03-01,solar,3564.4
2020-04-01,solar,3568.6
2020-05-01,solar,3600.0
2020-06-01,solar,3620.4
2020-07-01,solar,3649.2
2020-08-01,solar,3744.7
2020-09-01,solar,3897.8
2020-10-01,solar,4012.3
2020-11-01,solar,4138.4
2020-12-01,solar,4813.3
2021-01-01,solar,4825.0
2021-02-01,solar,4978.0
2021-03-01,solar,5084.0
2021-04-01,solar,5097.3
2021-05-01,solar,5178.1
2021-06-01,solar,5317.8
2021-07-01,solar,5680.6
2021-08-01,solar,5978.2
2021-09-01,solar,5987.2
2021-10-01,solar,6131.0
2021-11-01,solar,6250.5
2021-12-01,solar,6606.4
2022-01-01,solar,6757.9
2022-02-01,solar,6759.9
2022-03-01,solar,6777.9
2022-04-01,solar,6801.0
2022-05-01,solar,6985.6
2022-06-01,solar,7026.6
2022-07-01,solar,7053.7
2022-08-01,solar,7057.7
2022-09-01,solar,7133.6
2022-10-01,solar,7245.7
2022-11-01,solar,7335.7
2022-12-01,solar,7596.6
2023-01-01,solar,7646.9
2023-02-01,solar,7797.5
2023-03-01,solar,7887.4
2023-04-01,solar,7925.5
2023-05-01,solar,7986.4
2023-06-01,solar,8308.4
2023-07-01,solar,8481.7
2023-08-01,solar,8675.4
2023-09-01,solar,8896.1
2023-10-01,solar,8985.4
2023-11-01,solar,9278.4
2023-12-01,solar,11122.0
2024-01-01,solar,11436.1
2024-02-01,solar,11555.6
2024-03-01,solar,11700.9
2024-04-01,solar,11855.6
2024-05-01,solar,12186.1
2024-06-01,solar,12608.3
2024-07-01,solar,12634.6
2024-08-01,solar,12720.0
2024-09-01,solar,12968.3
2024-10-01,solar,13086.2
2024-11-01,solar,13864.4
2024-12-01,solar,15009.1
2025-01-01,solar,15408.5
2025-02-01,solar,15536.8
2025-03-01,solar,15894.9
2025-04-01,solar,16118.6
2025-05-01,solar,16155.5
2025-06-01,solar,16366.3
2025-07-01,solar,16623.5
2025-08-01,solar,16668.4
2025-09-01,solar,16696.4
2025-10-01,solar,16780.7
2025-11-01,solar,17084.9
2025-12-01,solar,17999.3
2026-01-01,solar,18245.6
2026-02-01,solar,18247.6
2026-03-01,solar,18609.0
2026-04-01,solar,18707.2
2026-05-01,solar,18744.1
2026-06-01,solar,18944.6
2026-07-01,solar,19202.2
2026-08-01,solar,19202.2
2017-01-01,wind,7672.4
2017-02-01,wind,7672.4
2017-03-01,wind,7672.4
2017-04-01,wind,7672.4
2017-05-01,wind,7672.4
2017-06-01,wind,7672.4
2017-07-01,wind,7772.4
2017-08-01,wind,7772.4
2017-09-01,wind,7772.4
2017-10-01,wind,7776.9
2017-11-01,wind,7776.9
2017-12-01,wind,8240.6
2018-01-01,wind,8242.1
2018-02-01,wind,8242.1
2018-03-01,wind,8242.1
2018-04-01,wind,8242.1
2018-05-01,wind,8242.1
2018-06-01,wind,8242.1
2018-07-01,wind,8242.1
2018-08-01,wind,8242.1
2018-09-01,wind,8354.6
2018-10-01,wind,8354.6
2018-11-01,wind,8354.6
2018-12-01,wind,8751.6
2019-01-01,wind,8751.6
2019-02-01,wind,8751.6
2019-03-01,wind,8751.6
2019-04-01,wind,8751.6
2019-05-01,wind,8751.6
2019-06-01,wind,8751.6
2019-07-01,wind,8751.6
2019-08-01,wind,8751.6
2019-09-01,wind,8751.6
2019-10-01,wind,8751.6
2019-11-01,wind,8945.9
2019-12-01,wind,9241.1
2020-01-01,wind,9366.2
2020-02-01,wind,9366.2
2020-03-01,wind,9581.2
2020-04-01,wind,9581.2
2020-05-01,wind,9637.4
2020-06-01,wind,9637.4
2020-07-01,wind,9637.4
2020-08-01,wind,9646.4
2020-09-01,wind,9793.0
2020-10-01,wind,9793.0
2020-11-01,wind,9793.0
2020-12-01,wind,10122.0
2021-01-01,wind,10134.0
2021-02-01,wind,10134.0
2021-03-01,wind,10134.0
2021-04-01,wind,10134.0
2021-05-01,wind,10383.8
2021-06-01,wind,10583.8
2021-07-01,wind,10583.8
2021-08-01,wind,10583.8
2021-09-01,wind,10583.8
2021-10-01,wind,10583.8
2021-11-01,wind,10583.8
2021-12-01,wind,10583.8
2022-01-01,wind,10583.8
2022-02-01,wind,10698.8
2022-03-01,wind,10698.8
2022-04-01,wind,10698.8
2022-05-01,wind,10698.8
2022-06-01,wind,10698.8
2022-07-01,wind,10698.8
2022-08-01,wind,10698.8
2022-09-01,wind,10698.8
2022-10-01,wind,10698.8
2022-11-01,wind,10698.8
2022-12-01,wind,10698.8
2023-01-01,wind,10698.8
2023-02-01,wind,10698.8
2023-03-01,wind,10696.8
2023-04-01,wind,10696.8
2023-05-01,wind,10897.3
2023-06-01,wind,10897.3
2023-07-01,wind,10897.3
2023-08-01,wind,10985.3
2023-09-01,wind,11072.9
2023-10-01,wind,11181.2
2023-11-01,wind,11181.2
2023-12-01,wind,11291.2
2024-01-01,wind,11291.2
2024-02-01,wind,11291.2
2024-03-01,wind,11291.2
2024-04-01,wind,11291.2
2024-05-01,wind,11291.2
2024-06-01,wind,11291.2
2024-07-01,wind,11291.2
2024-08-01,wind,11291.2
2024-09-01,wind,11291.2
2024-10-01,wind,11291.2
2024-11-01,wind,11291.2
2024-12-01,wind,11480.2
2025-01-01,wind,11480.2
2025-02-01,wind,11480.2
2025-03-01,wind,11473.0
2025-04-01,wind,11473.0
2025-05-01,wind,11527.9
2025-06-01,wind,11527.9
2025-07-01,wind,11527.9
2025-08-01,wind,11527.9
2025-09-01,wind,11527.9
2025-10-01,wind,11527.9
2025-11-01,wind,11527.9
2025-12-01,wind,11731.9
2026-01-01,wind,11731.9
2026-02-01,wind,11731.9
2026-03-01,wind,11731.9
2026-04-01,wind,11731.9
2026-05-01,wind,11872.2
2026-06-01,wind,11986.2
2026-07-01,wind,11986.2
2026-08-01,wind,11986.2
