tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,228635.25439999998,393791.0855015716,0.0,-165155.83110157162,-0.0
nuclear,2018,258399.282467486,393791.0855015716,0.0,-135391.8030340856,-0.0
nuclear,2019,212035.8858,393791.0855015716,0.0,-181755.1997015716,-0.0
nuclear,2020,209614.05671999996,393791.0855015716,0.0,-184177.02878157163,-0.0
nuclear,2021,240109.49843999997,393791.0855015716,0.0,-153681.58706157163,-0.0
nuclear,2022,211131.47394045244,393791.0855015716,0.0,-182659.61156111915,-0.0
nuclear,2023,206886.77171999996,393791.0855015716,0.0,-186904.31378157163,-0.0
nuclear,2024,371283.8031659329,393791.0855015716,0.0,-22507.28233563871,-0.0
nuclear,2025,695555.6607600001,393791.0855015716,0.0,301764.5752584285,-0.0
ccgt,2017,31544.890399999997,95537.60126819545,0.0,-63992.71086819545,112456.33843626415
ccgt,2018,61308.918467486015,95537.60126819545,0.0,-34228.68280070943,112456.33843626415
ccgt,2019,14945.52180000001,95537.60126819545,0.0,-80592.07946819544,112456.33843626415
ccgt,2020,12523.692720000008,95537.60126819545,0.0,-83013.90854819544,112456.33843626415
ccgt,2021,43019.13444000001,95537.60126819545,0.0,-52518.46682819544,112456.33843626415
ccgt,2022,14041.109940452485,95537.60126819545,0.0,-81496.49132774296,112456.33843626415
ccgt,2023,9796.407720000007,95537.60126819545,0.0,-85741.19354819544,112456.33843626415
ccgt,2024,174193.4391659329,95537.60126819545,0.0,78655.83789773747,112456.33843626415
ccgt,2025,498465.29675999994,95537.60126819545,0.0,402927.6954918045,112456.33843626415
ct,2017,19893.92888,81179.84459482426,0.0,-61285.91571482426,32364.06782144816
ct,2018,44225.205227485996,81179.84459482426,0.0,-36954.63936733826,32364.06782144816
ct,2019,4.867217739956686e-12,81179.84459482426,0.0,-81179.84459482426,32364.06782144816
ct,2020,4.078515303262975e-12,81179.84459482426,0.0,-81179.84459482426,32364.06782144816
ct,2021,29840.893320000003,81179.84459482426,0.0,-51338.951274824256,32364.06782144816
ct,2022,4.568789790937444e-12,81179.84459482426,0.0,-81179.84459482426,32364.06782144816
ct,2023,3.19033688356285e-12,81179.84459482426,0.0,-81179.84459482426,32364.06782144816
ct,2024,159204.28080593294,81179.84459482426,0.0,78024.43621110868,32364.06782144816
ct,2025,477454.29311999993,81179.84459482426,0.0,396274.4485251757,32364.06782144816
coal,2017,35460.435199999956,250433.9871366213,0.0,-214973.55193662134,-0.0
coal,2018,65224.46326748595,250433.9871366213,0.0,-185209.52386913533,-0.0
coal,2019,18861.066599999955,250433.9871366213,0.0,-231572.92053662133,-0.0
coal,2020,16439.237519999948,250433.9871366213,0.0,-233994.74961662135,-0.0
coal,2021,46934.679239999954,250433.9871366213,0.0,-203499.30789662135,-0.0
coal,2022,17956.65474045242,250433.9871366213,0.0,-232477.33239616887,-0.0
coal,2023,13711.952519999944,250433.9871366213,0.0,-236722.03461662136,-0.0
coal,2024,178108.98396593294,250433.9871366213,0.0,-72325.00317068835,-0.0
coal,2025,502380.84156,250433.9871366213,0.0,251946.85442337868,-0.0
solar,2017,25002.869396988965,74370.95515776894,0.0,-49368.08576077998,-0.0
solar,2018,33762.827404236,74370.95515776894,0.0,-40608.12775353294,-0.0
