tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,228635.25439999998,393791.0855015716,62792.09130318313,-102363.73979838849,-0.0
nuclear,2018,344182.7999199999,393791.0855015716,-51644.59175512997,-101252.87733670167,-0.0
nuclear,2019,231493.4490800001,393791.0855015716,60016.25976355072,-102281.37665802077,-0.0
nuclear,2020,209627.68598897592,393791.0855015716,81560.01250552399,-102603.38700707168,-0.0
nuclear,2021,280290.0852399999,393791.0855015716,11370.8596838058,-102130.14057776587,-0.0
nuclear,2022,211381.33739999993,393791.0855015716,79932.12819879563,-102477.61990277603,-0.0
nuclear,2023,226366.15327999997,393791.0855015716,64821.545214499936,-102603.3870070717,-0.0
nuclear,2024,470760.3850129665,393791.0855015716,-176837.3306973216,-99868.03118592667,-0.0
nuclear,2025,650038.7396201771,393791.0855015716,-347827.5312206238,-91579.87710201833,-0.0
ccgt,2017,31544.89040000003,95537.60126819545,62792.09130318318,-1200.6195650122318,104677.51677741748
ccgt,2018,147092.43591999993,95537.60126819545,-51644.591755130015,-89.7571033255299,104677.51677741748
ccgt,2019,34403.085080000164,95537.60126819545,60016.25976355077,-1118.2564246445108,104677.51677741748
ccgt,2020,12537.321988975948,95537.60126819545,81560.01250552406,-1440.2667736954318,104677.51677741748
ccgt,2021,83199.72124000001,95537.60126819545,11370.859683805811,-967.0203443896207,104677.51677741748
ccgt,2022,14290.973400000013,95537.60126819545,79932.1281987957,-1314.4996693997236,104677.51677741748
ccgt,2023,29275.789280000015,95537.60126819545,64821.545214499994,-1440.266773695439,104677.51677741748
ccgt,2024,273670.02101296646,95537.60126819545,-176837.33069732177,1295.0890474492626,104677.51677741748
ccgt,2025,452948.3756201771,95537.60126819545,-347827.5312206241,9583.243131357536,104677.51677741748
ct,2017,19893.92888000002,81179.84459482426,16142.878393646177,-45143.03732117806,29099.40966744296
ct,2018,129310.53772000008,81179.84459482426,-13277.02815896343,34853.66496621239,29099.40966744296
ct,2019,19893.928880000174,81179.84459482426,15429.254909294063,-45856.660805530024,29099.40966744296
ct,2020,733.6325089759137,81179.84459482426,20967.821525546035,-59478.3905603023,29099.40966744296
