tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,292612.12218501314,393791.0855015716,0.0,-101178.96331655845,82040.50025138521
nuclear,2018,464941.9110339784,393791.0855015716,0.0,71150.8255324068,82040.50025138521
nuclear,2019,337472.59036830807,393791.0855015716,0.0,-56318.495133263525,82040.50025138521
nuclear,2020,249984.5025512926,393791.0855015716,0.0,-143806.582950279,82040.50025138521
nuclear,2021,374567.8902997493,393791.0855015716,0.0,-19223.195201822266,82040.50025138521
nuclear,2022,326450.72949797637,393791.0855015716,0.0,-67340.35600359523,82040.50025138521
nuclear,2023,251311.2092795702,393791.0855015716,0.0,-142479.8762220014,82040.50025138521
nuclear,2024,472912.51395657135,393791.0855015716,0.0,79121.42845499975,82040.50025138521
nuclear,2025,773866.3003430981,393791.0855015716,0.0,380075.2148415265,82040.50025138521
ccgt,2017,27336.01889685094,95537.60126819545,0.0,-68201.5823713445,29858.62799961491
ccgt,2018,116964.54812817223,95537.60126819545,0.0,21426.946859976786,29858.62799961491
ccgt,2019,43098.60451355799,95537.60126819545,0.0,-52438.996754637454,29858.62799961491
ccgt,2020,11650.77370077848,95537.60126819545,0.0,-83886.82756741697,29858.62799961491
ccgt,2021,73013.24760998042,95537.60126819545,0.0,-22524.353658215026,29858.62799961491
ccgt,2022,11305.422124604702,95537.60126819545,0.0,-84232.17914359074,29858.62799961491
ccgt,2023,25794.503952871637,95537.60126819545,0.0,-69743.0973153238,29858.62799961491
ccgt,2024,163216.43045036413,95537.60126819545,0.0,67678.82918216869,29858.62799961491
ccgt,2025,387458.86203668365,95537.60126819545,0.0,291921.2607684882,29858.62799961491
ct,2017,19600.208928262284,81179.84459482426,0.0,-61579.635666561975,15984.359758393668
ct,2018,98001.04464131143,81179.84459482426,0.0,16821.200046487167,15984.359758393668
ct,2019,29400.313392393426,81179.84459482426,0.0,-51779.53120243084,15984.359758393668
ct,2020,5.968558980384842e-13,81179.84459482426,0.0,-81179.84459482426,15984.359758393668
ct,2021,58800.62678478685,81179.84459482426,0.0,-22379.217810037408,15984.359758393668
ct,2022,4.817763965547783e-10,81179.84459482426,0.0,-81179.84459482378,15984.359758393668
ct,2023,19600.208928262284,81179.84459482426,0.0,-61579.635666561975,15984.359758393668
ct,2024,147001.56696197382,81179.84459482426,0.0,65821.72236714956,15984.359758393668
ct,2025,358214.6317164471,81179.84459482426,0.0,277034.7871216229,15984.359758393668
coal,2017,19502.18688138001,250433.9871366213,0.0,-230931.80025524128,-0.0
coal,2018,97510.93440690005,250433.9871366213,0.0,-152923.05272972124,-0.0
coal,2019,29253.280322070015,250433.9871366213,0.0,-221180.70681455126,-0.0
coal,2020,0.0,250433.9871366213,0.0,-250433.9871366213,-0.0
coal,2021,58506.56064414003,250433.9871366213,0.0,-191927.42649248126,-0.0
coal,2022,0.0,250433.9871366213,0.0,-250433.9871366213,-0.0
coal,2023,19502.18688138001,250433.9871366213,0.0,-230931.80025524128,-0.0
coal,2024,146266.40161035006,250433.9871366213,0.0,-104167.58552627123,-0.0
coal,2025,356295.39680072333,250433.9871366213,0.0,105861.40966410204,-0.0
solar,2017,58072.64770449138,74370.95515776894,0.0,-16298.307453277564,38459.709453845935
solar,2018,81363.49846857616,74370.95515776894,0.0,6992.5433108072175,38459.709453845935
solar,2019,65848.21675539072,74370.95515776894,0.0,-8522.738402378222,38459.709453845935
solar,2020,60158.45245072172,74370.95515776894,0.0,-14212.50270704722,38459.709453845935
solar,2021,68703.98623056564,74370.95515776894,0.0,-5666.968927203299,38459.709453845935
