tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,258345.23803999997,393791.0855015716,0.0,-135445.84746157163,-0.0
nuclear,2018,394147.973067892,393791.0855015716,-0.0,356.8875663204235,-0.0
nuclear,2019,260247.78584034526,393791.0855015716,0.0,-133543.29966122634,-0.0
nuclear,2020,218622.83511999995,393791.0855015716,0.0,-175168.25038157165,-0.0
nuclear,2021,329828.54292,393791.0855015716,-0.0,-63962.542581571615,-0.0
nuclear,2022,214264.96969853656,393791.0855015716,0.0,-179526.11580303503,-0.0
nuclear,2023,246216.44559999998,393791.0855015716,0.0,-147574.63990157162,-0.0
nuclear,2024,562843.2650318427,393791.0855015716,-0.0,169052.17953027115,-0.0
nuclear,2025,855012.5477199999,393791.0855015716,-0.0,461221.4622184283,-0.0
ccgt,2017,61254.87404,95537.60126819545,27761.08069401416,-6521.646534181284,105327.22352187222
ccgt,2018,197057.60906789207,95537.60126819545,-84673.99622210271,16846.01157759392,105327.22352187222
ccgt,2019,63157.42184034528,95537.60126819545,27438.28653288523,-4941.892894964931,105327.22352187222
ccgt,2020,21532.471120000006,95537.60126819545,60916.72567053368,-13088.404477661767,105327.22352187222
ccgt,2021,132738.17891999998,95537.60126819545,-31810.31422401028,5390.2634277942525,105327.22352187222
ccgt,2022,17174.6056985366,95537.60126819545,64701.29110466689,-13661.704464991955,105327.22352187222
ccgt,2023,49126.0816,95537.60126819545,37975.95020381703,-8435.569464378415,105327.22352187222
ccgt,2024,365752.9010318427,95537.60126819545,-224904.63055638448,45310.66920726278,105327.22352187222
ccgt,2025,657922.1837199999,95537.60126819545,-459715.8051218574,102668.77732994704,105327.22352187222
ct,2017,49734.822199999995,81179.84459482426,28446.345619708172,-2998.6767751160914,27438.55516594224
ct,2018,179045.35992000002,81179.84459482426,-86764.12089588263,11101.394429293126,27438.55516594224
ct,2019,48713.72048034528,81179.84459482426,28115.583486464668,-4350.540628014314,27438.55516594224
ct,2020,9946.964440000002,81179.84459482426,62420.4169695234,-8812.463185300861,27438.55516594224
ct,2021,119363.57328,81179.84459482426,-32595.531948539272,5588.196736636466,27438.55516594224
ct,2022,2796.359178536598,81179.84459482426,66298.40203596815,-12085.083380319513,27438.55516594224
ct,2023,39787.85776,81179.84459482426,38913.36279886019,-2478.6240359640724,27438.55516594224
ct,2024,350741.92439184274,81179.84459482426,-230456.26079171937,39105.81900529913,27438.55516594224
ct,2025,636605.72416,81179.84459482426,-471063.6024396008,84362.27712557494,27438.55516594224
coal,2017,65170.41883999995,250433.9871366213,0.0,-185263.56829662135,-0.0
coal,2018,200973.15386789205,250433.9871366213,-0.0,-49460.83326872924,-0.0
coal,2019,67072.96664034524,250433.9871366213,0.0,-183361.02049627603,-0.0
coal,2020,25448.015919999947,250433.9871366213,0.0,-224985.97121662134,-0.0
coal,2021,136653.72371999995,250433.9871366213,-0.0,-113780.26341662134,-0.0
coal,2022,21090.150498536546,250433.9871366213,0.0,-229343.83663808473,-0.0
coal,2023,53041.626399999965,250433.9871366213,0.0,-197392.3607366213,-0.0
coal,2024,369668.4458318427,250433.9871366213,-0.0,119234.45869522143,-0.0
coal,2025,661837.72852,250433.9871366213,-0.0,411403.74138337874,-0.0
solar,2017,68264.37862263466,74370.95515776894,0.0,-6106.576535134285,20860.88976999056
solar,2018,90630.61895706634,74370.95515776894,-0.0,16259.6637992974,20860.88976999056
solar,2019,59286.78004858318,74370.95515776894,0.0,-15084.175109185759,20860.88976999056
solar,2020,58232.281732422525,74370.95515776894,0.0,-16138.673425346416,20860.88976999056
solar,2021,76533.35383206594,74370.95515776894,-0.0,2162.398674297001,20860.88976999056
solar,2022,48837.639101653294,74370.95515776894,0.0,-25533.316056115647,20860.88976999056
solar,2023,59772.96239306528,74370.95515776894,0.0,-14597.99276470366,20860.88976999056
solar,2024,151862.34646666102,74370.95515776894,-0.0,77491.39130889208,20860.88976999056
solar,2025,285239.298747193,74370.95515776894,-0.0,210868.34358942407,20860.88976999056
wind,2017,86600.7705874224,95974.26094574045,0.0,-9373.490358318042,27352.359382031034
wind,2018,107774.05868413998,95974.26094574045,-0.0,11799.797738399531,27352.359382031034
wind,2019,96458.84111880252,95974.26094574045,0.0,484.5801730620733,27352.359382031034
wind,2020,86411.02996760854,95974.26094574045,0.0,-9563.230978131905,27352.359382031034
wind,2021,96727.84273064078,95974.26094574045,-0.0,753.5817849003361,27352.359382031034
wind,2022,98179.66481380771,95974.26094574045,0.0,2205.4038680672675,27352.359382031034
wind,2023,90668.41012733322,95974.26094574045,0.0,-5305.850818407227,27352.359382031034
wind,2024,125887.27386819743,95974.26094574045,-0.0,29913.012922456983,27352.359382031034
wind,2025,160584.37852034468,95974.26094574045,-0.0,64610.11757460423,27352.359382031034
storage4,2017,54101.36510787418,149446.06822502337,0.0,-95344.70311714918,-0.0
storage4,2018,155662.08278070623,149446.06822502337,-0.0,6216.014555682865,-0.0
storage4,2019,53545.497912295854,149446.06822502337,0.0,-95900.5703127275,-0.0
storage4,2020,13903.306508426596,149446.06822502337,0.0,-135542.76171659678,-0.0
storage4,2021,123722.18092910467,149446.06822502337,-0.0,-25723.8872959187,-0.0
storage4,2022,8324.607974120294,149446.06822502337,0.0,-141121.46025090307,-0.0
storage4,2023,40299.45982633106,149446.06822502337,0.0,-109146.6083986923,-0.0
storage4,2024,303450.8453242392,149446.06822502337,-0.0,154004.77709921586,-0.0
storage4,2025,402927.640512535,149446.06822502337,-0.0,253481.57228751163,-0.0
storage8,2017,56856.630808207425,262946.94265621604,0.0,-206090.3118480086,-0.0
storage8,2018,188715.03151267584,262946.94265621604,-0.0,-74231.9111435402,-0.0
storage8,2019,56908.411222367715,262946.94265621604,0.0,-206038.53143384831,-0.0
storage8,2020,16768.743234663194,262946.94265621604,0.0,-246178.19942155285,-0.0
storage8,2021,126973.95052449257,262946.94265621604,-0.0,-135972.99213172347,-0.0
storage8,2022,11699.608176064621,262946.94265621604,0.0,-251247.33448015142,-0.0
storage8,2023,45708.39994536076,262946.94265621604,0.0,-217238.54271085528,-0.0
storage8,2024,359217.95139092917,262946.94265621604,-0.0,96271.00873471313,-0.0
storage8,2025,592575.6424772643,262946.94265621604,-0.0,329628.69982104824,-0.0
