tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,352479.4756003758,393791.0855015716,0.0,-41311.6099011958,58769.150548999445
nuclear,2018,456081.309774249,393791.0855015716,0.0,62290.224272677384,58769.150548999445
nuclear,2019,364103.12256821117,393791.0855015716,0.0,-29687.962933360424,58769.150548999445
nuclear,2020,295806.536100218,393791.0855015716,0.0,-97984.54940135358,58769.150548999445
nuclear,2021,411744.8290471804,393791.0855015716,0.0,17953.743545608828,58769.150548999445
nuclear,2022,319117.9401766706,393791.0855015716,0.0,-74673.14532490098,58769.150548999445
nuclear,2023,326798.5430540164,393791.0855015716,0.0,-66992.54244755517,58769.150548999445
nuclear,2024,550567.1897145256,393791.0855015716,0.0,156776.104212954,58769.150548999445
nuclear,2025,728277.5395068335,393791.0855015716,0.0,334486.45400526194,58769.150548999445
ccgt,2017,50794.5755019636,95537.60126819545,0.0,-44743.02576623185,46001.48412697858
ccgt,2018,117410.61318590824,95537.60126819545,0.0,21873.011917712793,46001.48412697858
ccgt,2019,64864.581943880876,95537.60126819545,0.0,-30673.01932431457,46001.48412697858
ccgt,2020,23239.714348770864,95537.60126819545,0.0,-72297.88691942458,46001.48412697858
ccgt,2021,113774.91350283887,95537.60126819545,0.0,18237.312234643425,46001.48412697858
ccgt,2022,22543.79901655415,95537.60126819545,0.0,-72993.80225164129,46001.48412697858
ccgt,2023,27935.331903771214,95537.60126819545,0.0,-67602.26936442422,46001.48412697858
ccgt,2024,233112.26376640392,95537.60126819545,0.0,137574.66249820846,46001.48412697858
ccgt,2025,399488.9255588051,95537.60126819545,0.0,303951.3242906097,46001.48412697858
ct,2017,39578.057794473076,81179.84459482426,0.0,-41601.78680035118,23720.254125041025
ct,2018,98579.9630200493,81179.84459482426,0.0,17400.11842522504,23720.254125041025
ct,2019,49472.572243091505,81179.84459482426,0.0,-31707.272351732754,23720.254125041025
ct,2020,9894.514448618518,81179.84459482426,0.0,-71285.33014620574,23720.254125041025
ct,2021,98945.14448618266,81179.84459482426,0.0,17765.2998913584,23720.254125041025
ct,2022,9894.514448618267,81179.84459482426,0.0,-71285.33014620599,23720.254125041025
ct,2023,19789.028897236574,81179.84459482426,0.0,-61390.815697587685,23720.254125041025
ct,2024,217679.3178696018,81179.84459482426,0.0,136499.47327477753,23720.254125041025
ct,2025,375991.5490474941,81179.84459482426,0.0,294811.70445266983,23720.254125041025
coal,2017,39565.295572414296,250433.9871366213,0.0,-210868.691564207,-0.0
coal,2018,98544.8669093877,250433.9871366213,0.0,-151889.1202272336,-0.0
coal,2019,49456.61946551787,250433.9871366213,0.0,-200977.36767110342,-0.0
coal,2020,9891.323893103574,250433.9871366213,0.0,-240542.66324351772,-0.0
coal,2021,98913.23893103574,250433.9871366213,0.0,-151520.74820558555,-0.0
coal,2022,9891.323893103574,250433.9871366213,0.0,-240542.66324351772,-0.0
coal,2023,19782.647786207148,250433.9871366213,0.0,-230651.33935041414,-0.0
coal,2024,217609.12564827863,250433.9871366213,0.0,-32824.86148834266,-0.0
