tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,307116.8061642946,393791.0855015716,0.0,-86674.279337277,-0.0
nuclear,2018,315541.9460812326,393791.0855015716,0.0,-78249.13942033896,-0.0
nuclear,2019,306104.44636405667,393791.0855015716,0.0,-87686.63913751493,-0.0
nuclear,2020,247312.99789493345,393791.0855015716,0.0,-146478.08760663815,-0.0
nuclear,2021,345123.64870088827,393791.0855015716,0.0,-48667.436800683325,-0.0
nuclear,2022,262837.8677781251,393791.0855015716,0.0,-130953.21772344649,-0.0
nuclear,2023,272382.4830225402,393791.0855015716,0.0,-121408.60247903137,-0.0
nuclear,2024,405554.0326697616,393791.0855015716,0.0,11762.947168190032,-0.0
nuclear,2025,575467.4895164368,393791.0855015716,0.0,181676.40401486523,-0.0
ccgt,2017,61924.002338861756,95537.60126819545,0.0,-33613.59892933369,94122.39496212549
ccgt,2018,67170.12291275559,95537.60126819545,0.0,-28367.47835543986,94122.39496212549
ccgt,2019,64990.56454053906,95537.60126819545,0.0,-30547.036727656385,94122.39496212549
ccgt,2020,13436.336318134834,95537.60126819545,0.0,-82101.2649500606,94122.39496212549
ccgt,2021,103838.99709534453,95537.60126819545,0.0,8301.395827149085,94122.39496212549
ccgt,2022,21757.373378097996,95537.60126819545,0.0,-73780.22789009745,94122.39496212549
ccgt,2023,29027.09404675672,95537.60126819545,0.0,-66510.50722143872,94122.39496212549
ccgt,2024,163919.39728333228,95537.60126819545,0.0,68381.79601513683,94122.39496212549
ccgt,2025,333774.5234998599,95537.60126819545,0.0,238236.92223166447,94122.39496212549
ct,2017,49682.37220861827,81179.84459482426,0.0,-31497.47238620599,32514.218337342973
ct,2018,49682.37220861827,81179.84459482426,0.0,-31497.47238620599,32514.218337342973
ct,2019,49682.37220861826,81179.84459482426,0.0,-31497.472386206,32514.218337342973
ct,2020,2.4158453015843406e-13,81179.84459482426,0.0,-81179.84459482426,32514.218337342973
ct,2021,89428.26997551287,81179.84459482426,0.0,8248.425380688612,32514.218337342973
ct,2022,9936.474441723652,81179.84459482426,0.0,-71243.37015310061,32514.218337342973
ct,2023,19872.948883447305,81179.84459482426,0.0,-61306.89571137696,32514.218337342973
